"filename","final_path","source_path","doc_type","species_tags","extraction_status","publish_year","model_target_year","target_year_rule","search_text"
"C4D10AC3__companion hunter signed (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\C4D10AC3__companion hunter signed (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\PDF FILES\companion hunter signed (2025_12_24 22_29_05 UTC).pdf","regulation","","ok","2025","2025","regulation_same_year","C4D10AC3__companion hunter signed (2025_12_24 22_29_05 UTC).pdf other 2025 regulation  � Utah Division of  :lil Wildlife Resources Application for Certificate of Registration  Companion Hunting  Applicant Information  Customer Identification # ------------ Name Phone ------------------------ ----------------- Address _________________ City _________ _ State _____ -----'Zip _ __ _  Date of Birth. ______ _ Gender _ _ Weight _ _ _ Height'---_ _ Eye Color Hair Color ____ _ Requirements:  1. Applicant must have permanent physical impairment so severe that he/she is physically unable to use any legal hunting weapon or fishing device. 2. An authorized person may take protected wildlife for a person who is blind, upper extremity disabled, or quadriplegic. 3. Applicant must posses the appropriate license, permit, and tag. 4. Companion hunter must satisfy the hunter education requirements. 5. The companion must be accompanied by the blind, upper extremity disabled, or quadriplegic person at all times while hunting or fishing at the time of take and while transporting the wildlife."
"91FC5181__cougar guidebook  .pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\91FC5181__cougar guidebook  .pdf","D:\DOCUMENTS\PDF FILES\cougar guidebook  .pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","91FC5181__cougar guidebook  .pdf other 2024 harvest_report   2 wildlife.utah.gov UTAH COUGAR GUIDEBOOK • 2024 CONTENTS 6 Key dates and fees 8 Basic requirements 8 Adults must accompany young  hunters 8 Have you passed hunter  education? 8 Take the voluntary cougar- hunting course 9 Do you have a license?  9 Utah’ s Trial Hunting Program 10 Prepare to hunt 11 What about bonus points? 11 Hunters with disabilities 12 Additional considerations 12 Restrictions on harvesting  collared cougars 14 Field regulations 14 Firearms and archery equipment 14 Are you allowed to possess a  weapon? 16 Areas with special restrictions 17 Hunting hours and methods 18 Taking cougar 18 Possession and transportation 20 Harvest reporting 22 Trespassing 24 Cougar reference map 26 Cougar management units 27 Definitions CONTACT US Turn in a poacher Phone: 800-662-3337 Text: 847411 Online: wildlife.utah.gov/utip Division offices Offices are open 8 a.m.–5 p.m.,   Monday through Friday. Salt Lake City 1594 W North Temple Box 146301 Salt Lake City, UT 84114-6301 801-538-4700 "
"3614C977__cougar_guidebook (2025_12_24 23_43_27 UTC) (2026_03_09 00_04_09 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3614C977__cougar_guidebook (2025_12_24 23_43_27 UTC) (2026_03_09 00_04_09 UTC).pdf","D:\DOCUMENTS\PDF FILES\cougar_guidebook (2025_12_24 23_43_27 UTC) (2026_03_09 00_04_09 UTC).pdf","harvest_report","","ok","2026","2026","harvest_hr_applies_to_report_year","3614C977__cougar_guidebook (2025_12_24 23_43_27 UTC) (2026_03_09 00_04_09 UTC).pdf other 2026 harvest_report   2 wildlife.utah.gov UTAH COUGAR GUIDEBOOK  • 2025   CONTENTS 6 Key dates and fees 8 Basic requirements 8 Adults must accompany   young hunters 8 Have you passed hunter  education? 9 Do you have a license?  9 Utah’ s Trial Hunting Program 10 Prepare to hunt 10 What about bonus points? 11 Hunters with disabilities 12 Additional considerations 12 Restrictions on harvesting  collared cougars 14 Field regulations 14 Firearms and archery equipment 14 Are you allowed to possess   a weapon? 16 Areas with special restrictions 17 Hunting hours and methods 18 Taking cougar 19 Possession and transportation 20 Harvest reporting 22 Trespassing 24 Cougar reference map 26 Cougar management units 27 Definitions CONTACT US Turn in a poacher Phone: 800-662-3337 Text: 847411 Online: wildlife.utah.gov/utip Division offices Offices are open 8 a.m.–5 p.m.,   Monday through Friday. Salt Lake City 1594 W North Temple Box 146301 Salt Lake City, UT 84114-6301 801-538-4700 Central Region 1115 N Main Street Sprin"
"379A9E5E__cougar_guidebook (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\379A9E5E__cougar_guidebook (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\PDF FILES\cougar_guidebook (2025_12_24 23_43_27 UTC).pdf","harvest_report","","ok","2025","2025","harvest_hr_applies_to_report_year","379A9E5E__cougar_guidebook (2025_12_24 23_43_27 UTC).pdf other 2025 harvest_report   2 wildlife.utah.gov UTAH COUGAR GUIDEBOOK  • 2025   CONTENTS 6 Key dates and fees 8 Basic requirements 8 Adults must accompany   young hunters 8 Have you passed hunter  education? 9 Do you have a license?  9 Utah’ s Trial Hunting Program 10 Prepare to hunt 10 What about bonus points? 11 Hunters with disabilities 12 Additional considerations 12 Restrictions on harvesting  collared cougars 14 Field regulations 14 Firearms and archery equipment 14 Are you allowed to possess   a weapon? 16 Areas with special restrictions 17 Hunting hours and methods 18 Taking cougar 19 Possession and transportation 20 Harvest reporting 22 Trespassing 24 Cougar reference map 26 Cougar management units 27 Definitions CONTACT US Turn in a poacher Phone: 800-662-3337 Text: 847411 Online: wildlife.utah.gov/utip Division offices Offices are open 8 a.m.–5 p.m.,   Monday through Friday. Salt Lake City 1594 W North Temple Box 146301 Salt Lake City, UT 84114-6301 801-538-4700 Central Region 1115 N Main Street Sprin"
"8F516A10__Dear Wildlife Board Members (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\8F516A10__Dear Wildlife Board Members (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\Dear Wildlife Board Members (2026_02_06 06_23_41 UTC).pdf","regulation","","ok","2026","2026","regulation_same_year","8F516A10__Dear Wildlife Board Members (2026_02_06 06_23_41 UTC).pdf other 2026 regulation  Dear Wildlife Board Members,    Through consideration of Sb149 => R657-72 you are going to make decisions that are going  to have a signiﬁcant impact on Human Lives.  Both the Lives of the Outﬁtters and Guides  that work in this industry and the future of this industry and you are also going to be making  decisions that will directly impact Guide Service Operations on the ground and how  effective, how safe and how legal or illegal they are enabled to be.  Utah Code 23 has been messed up in it’s language for a long time.  SB 149 was taken from  Code 23 and then from SB 149 the DWR attempted to draft  R657-72.  The language from  the top down with each piece of legislation in this case was ﬂawed from the start, and as it  ﬂowed downhill it did so like an Avalanche until it basically piled up at the bottom in an  enormous mess.  Like many, I ﬁrst heard about this legislation around the middle of April.  I was placed in  contact with Rep. Shipp and then referred to Capt. Hovinga.  When I "
"83A67634__Dear Wildlife Board Members.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\83A67634__Dear Wildlife Board Members.pdf","D:\DOCUMENTS\PDF FILES\Dear Wildlife Board Members.pdf","regulation","","ok","2025","2025","regulation_same_year","83A67634__Dear Wildlife Board Members.pdf other 2025 regulation  Dear Wildlife Board Members,    Through consideration of Sb149 => R657-72 you are going to make decisions that are going  to have a signiﬁcant impact on Human Lives.  Both the Lives of the Outﬁtters and Guides  that work in this industry and the future of this industry and you are also going to be making  decisions that will directly impact Guide Service Operations on the ground and how  effective, how safe and how legal or illegal they are enabled to be.  Utah Code 23 has been messed up in it’s language for a long time.  SB 149 was taken from  Code 23 and then from SB 149 the DWR attempted to draft  R657-72.  The language from  the top down with each piece of legislation in this case was ﬂawed from the start, and as it  ﬂowed downhill it did so like an Avalanche until it basically piled up at the bottom in an  enormous mess.  Like many, I ﬁrst heard about this legislation around the middle of April.  I was placed in  contact with Rep. Shipp and then referred to Capt. Hovinga.  When I "
"0ABF51A3__Draft Hunting Contract.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\0ABF51A3__Draft Hunting Contract.pdf","D:\DOCUMENTS\PDF FILES\Draft Hunting Contract.pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","0ABF51A3__Draft Hunting Contract.pdf other 2024 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter /UT. #370746-7500  242 North 300 East, Manti, UT. 84642  Phone: (435) 851-6480 Email: tyler@wildeyez.org  Website: https://www.wildeyez.net  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting  Guide Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and  Representatives. This Contract also defines the respective rights, duties, expectations, and  entitlements pertaining to both parties independently and, under this contractual agreement,  together. The final resolution and agreements to all prior discussions and negotiations are set  forth herein. There are no implied terms, arrangements, promises, duties, responsibilities, or  expectations of this contract beyond those expressly stated herein.  F"
"C5FE5B9F__Dustin Merritt2 Hunt Contract 2023 (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\C5FE5B9F__Dustin Merritt2 Hunt Contract 2023 (1).pdf","D:\DOCUMENTS\PDF FILES\Dustin Merritt2 Hunt Contract 2023 (1).pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","C5FE5B9F__Dustin Merritt2 Hunt Contract 2023 (1).pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter /UT. #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851- 6480  Email: tyler@wildeyez.org Website: www.wildeyez.org  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  upon between both parties and defines the final agreement regarding the Hunting Guide Services to  be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also  defines the respective rights, duties, expectations, and entitlements pertaining to both parties  independently and, under this contractual agreement, together. The final resolution and agreements  to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities, or expectations of this contract beyond those  expressly stated herein.  David K. "
"CD0092E6__Dustin Merritt2 Hunt Contract 2023.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\CD0092E6__Dustin Merritt2 Hunt Contract 2023.pdf","D:\DOCUMENTS\PDF FILES\Dustin Merritt2 Hunt Contract 2023.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","CD0092E6__Dustin Merritt2 Hunt Contract 2023.pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT Tyler Miller Outfitter /UT. #370746-7500 242 North 300 East, Manti, UT. 84642 Phone: ( 435) 851-6480  Email: tyler@wildeyez.org Website: www.wildeyez.org This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed upon between both parties and defines the final agreement regarding the Hunting Guide Services to  be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also defines the respective rights, duties, expectations, and entitlements pertaining to both parties independently and, under this contractual agreement, together. The final resolution and agreements to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities, or expectations of this contract beyond those expressly stated herein. 0LFKDHO6FRWW, her"
"40A08707__Dustin Merritt2A Hunt Contract 2023.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\40A08707__Dustin Merritt2A Hunt Contract 2023.pdf","D:\DOCUMENTS\PDF FILES\Dustin Merritt2A Hunt Contract 2023.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","40A08707__Dustin Merritt2A Hunt Contract 2023.pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT    Tyler Miller Outfitter / UT. #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6480  Email: tyler@wildeyez.org Website: www.wildeyez.org  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  upon between both parties and defines the final agreement regarding the Hunting Guide Services to  be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also  defines the respective rights, duties, expectations and entitlements pertaining to both parties  independently and, under this contractual agreement, together. The final resolution and agreements  to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities or expectations of this contract beyond those  expressly stated below.  Dewey Heat"
"00D11946__Dustin Merritt2b Hunt Contract 2023.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\00D11946__Dustin Merritt2b Hunt Contract 2023.pdf","D:\DOCUMENTS\PDF FILES\Dustin Merritt2b Hunt Contract 2023.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","00D11946__Dustin Merritt2b Hunt Contract 2023.pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / UT. #370746- 7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851- 6480  Email: tyler@wildeyez.org Website: www.wildeyez.org  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  upon between both parties and defines the final agreement regarding the Hunting Guide Services to  be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also  defines the respective rights, duties, expectations and entitlements pertaining to both parties  independently and, under this contractual agreement, together. The final resolution and agreements  to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities or expectations of this contract beyond those  expressly stated below. Dewey Heath"
"9AD3665A__EA1220 antlerless hunt 2.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\9AD3665A__EA1220 antlerless hunt 2.pdf","D:\DOCUMENTS\PDF FILES\EA1220 antlerless hunt 2.pdf","draw_odds","","ok","2025","2026","draw_results_to_next_year","9AD3665A__EA1220 antlerless hunt 2.pdf other 2025 draw_odds  Hunt# EA1220 - General Season Antlerless Elk (2025/26) Manti  Weapon Type Any Legal Weapon Season Dates Nov 19 - Dec 31, 2025/26 Be Advised - National Forests may contain areas of private land. Please obtain written permission  from land owner to hunt private property. Utah Geospatial Resource Center, Esri, TomTom, G… + − 0 10 20mi EA1024 MANTI SOUTH EA1025 MANTI WEST EA1022 MANTI NORTH Wildfire Information: For the latest information on wildfires throughout Utah, please visit the Utah Wildfire Information site. Permits Resident permits: 0 Nonresident permits: 0 Total permits: 0 Draw Odds Report Drawing odds report page SPECIAL_PROVISIONS Permit holders may NOT hunt on CWMUs NOTES Baiting big game for the purposes of hunting is now illegal in Utah. Click here for more information. HARVEST_REPORTING REQUIRED: click here or call your local DWR office to report your harvest. You must report your harvest, even if you did not take an animal, by the Harvest Survey Due Date below (30 days fro"
"DD048D1D__EB3038 Early rifle Elk Manti 2024 Print.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\DD048D1D__EB3038 Early rifle Elk Manti 2024 Print.pdf","D:\DOCUMENTS\PDF FILES\EB3038 Early rifle Elk Manti 2024 Print.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","DD048D1D__EB3038 Early rifle Elk Manti 2024 Print.pdf other 2024 draw_odds  Hunt# EB3038 - Limited Entry Bull Elk (2024) Manti Weapon Type Any Legal Weapon Season Dates Sept 18 2024 - Sept 22 2024 Be Advised - National Forests may contain areas of private land. Please obtain written permission from land owner to hunt private property. Utah Geospatial Resource Center, Esri, TomTom, G… + − 0 10 20mi 5/26/24, 10:53 PM EB3038 Print https://dwrapps.utah.gov/huntboundary/PrintABoundary?HN=EB3038&MINX=-12998458&MINY=4489220&MAXX=-11824385&MAXY=5046293&BAS… 1/5 Permits Resident permits: 62 Nonresident permits: 6 Total permits: 68 Draw Odds Report Drawing odds report page WAITING_PERIOD_YEARS 5 NOTES Baiting big game for the purposes of hunting is now illegal in Utah. Click here for more information. HARVEST_REPORTING REQUIRED: click here or call 1-800-221-0659 to report your harvest. You must report your harvest, even if you did not take an animal, by the Harvest Survey Due Date below (30 days from the end date of the season printed on your permit); failure to do so m"
"9E778401__EB3126 Mid-Season Manti Print.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\9E778401__EB3126 Mid-Season Manti Print.pdf","D:\DOCUMENTS\PDF FILES\EB3126 Mid-Season Manti Print.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","9E778401__EB3126 Mid-Season Manti Print.pdf other 2024 draw_odds  Hunt# EB3126 - Limited Entry Bull Elk (2024) Manti Weapon Type Any Legal Weapon Season Dates Oct 05 2024 - Oct 17 2024 Be Advised - National Forests may contain areas of private land. Please obtain written permission from land owner to hunt private property. Utah Geospatial Resource Center, Esri, TomTom, G… + − 0 10 20mi 6/3/24, 4:42 PM EB3126 Print https://dwrapps.utah.gov/huntboundary/PrintABoundary?HN=EB3126&MINX=-12919269&MINY=4450696&MAXX=-11903574&MAXY=5084817&BAS… 1/4 Permits Resident permits: 178 Nonresident permits: 18 Total permits: 196 Draw Odds Report Drawing odds report page WAITING_PERIOD_YEARS 5 NOTES Baiting big game for the purposes of hunting is now illegal in Utah. Click here for more information. HARVEST_REPORTING REQUIRED: click here or call 1-800-221-0659 to report your harvest. You must report your harvest, even if you did not take an animal, by the Harvest Survey Due Date below (30 days from the end date of the season printed on your permit); failure to do so ma"
"3CCB617E__EB3177 Nebo Elk 2024.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\3CCB617E__EB3177 Nebo Elk 2024.pdf","D:\DOCUMENTS\PDF FILES\EB3177 Nebo Elk 2024.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","3CCB617E__EB3177 Nebo Elk 2024.pdf other 2024 draw_odds  Hunt# EB3177 - Limited Entry Bull Elk (2024) Nebo/San Pitch Mtns Weapon Type Any Legal Weapon Season Dates Oct 05 2024 - Oct 17 2024 Be Advised - National Forests may contain areas of private land. Please obtain written permission from land owner to hunt private property. Utah Geospatial Resource Center, Esri, TomTom, G… + − 0 10 20mi 8/9/24, 11:07 AM EB3177 Print https://dwrapps.utah.gov/huntboundary/PrintABoundary?HN=EB3177&MINX=-13194137&MINY=4379151&MAXX=-11628706&MAXY=5156362&BAS… 1/3 Resident permits: 21       2023 Harvest %:  78.3 Nonresident permits: 2         Average Age:   7.1 Yrs. Total permits: 23 Permits Resident permits: 21 Nonresident permits: 2 Total permits: 23 Draw Odds Report Drawing odds report page HARVEST_REPORTING REQUIRED: click here or call 1-800-221-0659 to report your harvest. You must report your harvest, even if you did not take an animal, by the Harvest Survey Due Date below (30 days from the end date of the season printed on your permit); failure to do so"
"93C3152A__Elk Muzzy 2024 EB3084 Print.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\93C3152A__Elk Muzzy 2024 EB3084 Print.pdf","D:\DOCUMENTS\PDF FILES\Elk Muzzy 2024 EB3084 Print.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","93C3152A__Elk Muzzy 2024 EB3084 Print.pdf other 2024 draw_odds  Hunt# EB3084 - Limited Entry Bull Elk (2024) Manti Weapon Type Muzzleloader Season Dates Sept 23 2024 - Oct 04 2024 Be Advised - National Forests may contain areas of private land. Please obtain written permission from land owner to hunt private property. Utah Geospatial Resource Center, Esri, TomTom, G… + − 0 10 20mi 8/7/24, 5:24 PM EB3084 Print https://dwrapps.utah.gov/huntboundary/PrintABoundary?HN=EB3084&MINX=-13292587&MINY=4162681&MAXX=-11727157&MAXY=4939893&BAS… 1/5 Permits Resident permits: 90 Nonresident permits: 9 Total permits: 99 Draw Odds Report Drawing odds report page WAITING_PERIOD_YEARS 5 NOTES Baiting big game for the purposes of hunting is now illegal in Utah. Click here for more information. HARVEST_REPORTING REQUIRED: click here or call 1-800-221-0659 to report your harvest. You must report your harvest, even if you did not take an animal, by the Harvest Survey Due Date below (30 days from the end date of the season printed on your permit); failure to do so may resu"
"EE77D207__FISHLAKE PERMIT SPECIAL USE  (1) (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\EE77D207__FISHLAKE PERMIT SPECIAL USE  (1) (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\FISHLAKE PERMIT SPECIAL USE  (1) (2026_02_06 06_23_41 UTC).pdf","regulation","","ok","2026","2026","regulation_same_year","EE77D207__FISHLAKE PERMIT SPECIAL USE  (1) (2026_02_06 06_23_41 UTC).pdf other 2026 regulation  Use Code: 153  Authorization ID: RIC2307  Contact Name: TYLER MILLER  Expiration Date: 12/31/2024  FS-2700-4i (09/2020)  OMB No. 0596-0082  U.S. DEPARTMENT OF AGRICULTURE   FOREST SERVICE     SPECIAL USE PERMIT FOR OUTFITTING AND GUIDING  Authority: Federal Lands Recreation Enhancement Act, 16 U.S.C. 6801-6814  (Ref. FSH 2709.11, section 41.53)  This permit authorizes priority use outfitting and guiding for 2 years.   TYLER MILLER of WILD EYEZ OUTFITTERS 242 NORTH 300 EAST MANTI UT 84642 (hereinafter ""the  holder""), is hereby authorized to use and occupy National Forest System lands, subject to the terms of this permit,  to provide outfitting and guiding services within the Richfield, Fillmore, Beaver and Fremont River Ranger District  of the FISHLAKE NATIONAL FOREST, described as (the permit area), as shown on the map in Appendix A.    The purpose of this permit is to authorize the following outfitting and guiding activities:     Outfitting and guiding activities which include hunting"
"2DAFE650__FISHLAKE PERMIT SPECIAL USE  (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\2DAFE650__FISHLAKE PERMIT SPECIAL USE  (1).pdf","D:\DOCUMENTS\PDF FILES\FISHLAKE PERMIT SPECIAL USE  (1).pdf","regulation","","ok","2023","2023","regulation_same_year","2DAFE650__FISHLAKE PERMIT SPECIAL USE  (1).pdf other 2023 regulation  Use Code: 153  Authorization ID: RIC2307  Contact Name: TYLER MILLER  Expiration Date: 12/31/2024  FS-2700-4i (09/2020)  OMB No. 0596-0082  U.S. DEPARTMENT OF AGRICULTURE   FOREST SERVICE     SPECIAL USE PERMIT FOR OUTFITTING AND GUIDING  Authority: Federal Lands Recreation Enhancement Act, 16 U.S.C. 6801-6814  (Ref. FSH 2709.11, section 41.53)  This permit authorizes priority use outfitting and guiding for 2 years.   TYLER MILLER of WILD EYEZ OUTFITTERS 242 NORTH 300 EAST MANTI UT 84642 (hereinafter ""the  holder""), is hereby authorized to use and occupy National Forest System lands, subject to the terms of this permit,  to provide outfitting and guiding services within the Richfield, Fillmore, Beaver and Fremont River Ranger District  of the FISHLAKE NATIONAL FOREST, described as (the permit area), as shown on the map in Appendix A.    The purpose of this permit is to authorize the following outfitting and guiding activities:     Outfitting and guiding activities which include hunting"
"A4BA767B__Gene and Kevin Antlerless Elk 2024 A.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\A4BA767B__Gene and Kevin Antlerless Elk 2024 A.pdf","D:\DOCUMENTS\PDF FILES\Gene and Kevin Antlerless Elk 2024 A.pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","A4BA767B__Gene and Kevin Antlerless Elk 2024 A.pdf other 2024 harvest_report  HUNTING GUIDE SERVICES CONTRACT    TylerMillerOutfitter /UT. #370746-7500  242 North 300 East, Manti, UT. 84642  Phone: (435) 851-6480 Email: tyler@wildeyez.org  Website: https://www.wildeyez.net  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting  Guide Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and  Representatives. This Contract also defines the respective rights, duties, expectations, and  entitlements pertaining to both parties independently and, under this contractual agreement,  together. The final resolution and agreements to all prior discussions and negotiations are set  forth herein. There are no implied terms, arrangements, promises, duties, responsibilities, or  expectations of this contract beyond those expressly stated herein.  Y"
"44843732__Gene and Kevin Antlerless Elk 2024.pdf.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\44843732__Gene and Kevin Antlerless Elk 2024.pdf.pdf","D:\DOCUMENTS\PDF FILES\Gene and Kevin Antlerless Elk 2024.pdf.pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","44843732__Gene and Kevin Antlerless Elk 2024.pdf.pdf other 2024 harvest_report  HUNTING GUIDE SERVICES CONTRACT    TylerMillerOutfitter /UT. #370746-7500  242 North 300 East, Manti, UT. 84642  Phone: (435) 851-6480 Email: tyler@wildeyez.org  Website: https://www.wildeyez.net  This document is a binding Contract entered into between Wild Eyez Outfitters and the  undersigned Hunting Client. This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting  Guide Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and  Representatives. This Contract also defines the respective rights, duties, expectations, and  entitlements pertaining to both parties independently and, under this contractual agreement,  together. The final resolution and agreements to all prior discussions and negotiations are set  forth herein. There are no implied terms, arrangements, promises, duties, responsibilities, or  expectations of this contract beyond those expressly stated herein.  Y"
"CA455989__General Season Deer Draw Odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\CA455989__General Season Deer Draw Odds.pdf","D:\DOCUMENTS\PDF FILES\General Season Deer Draw Odds.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","CA455989__General Season Deer Draw Odds.pdf draw_odds 2024 draw_odds  2023 Draw 5, Big Game Draw Results Species: GENERAL SEASON DEER - All Applicants  22 21 20 19 18 17 16 15 14 13 12 11 9 10 19 53 173 1335 5944 15238 28607 53140 7 6 5 4 3 2 1 0 92 232 441 783 1024 1216 1522 3760 9146104528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 52 166 1245 3842 7718 12731 14254 40043 Resident A pplicants Noresident Applicants 7 6 5 4 3 2 1 0 18 1 in 1.1 52 166 1245 3842 7718 12731 14254 40043 1 in 1.0 1 in 1.0 1 in 1.1 1 in 1.5 1 in 2.0 1 in 2.2 1 in 3.7 1 in 2.6 Applicants # Permits # Permits # Permits SuccessEligible Bonus Regular Total 72 118 191 281 269 282 443 1820 3552 72 118 191 281 269 282 443 1820 3552 1 in 1.3 1 in 2.0 1 in 2.3 1 in 2.8 1 in 3.8 1 in 4.3 1 in 3.4 1 in 2.1 1 in 2.6 # Permits # Permits # Permits Bonus Regular Total Totals Total Applicants Eligible Total Totals Points PointsRatio Success Ratio 88 2500 68 6 1 in 1.3 25 25 1 in 1.0 Preference Preference 51 000 59 5 1 in 1.0 10 10 1 in 1.0 31 700 31 03 1 in 1.0 17 17 1 in 1.0 21 200 21 12 1 in 1.0 "
