OBJECTID,Boundary_Name,GlobalID,BoundaryID,Description,Unit_Number,Shape__Area,Shape__Length
46,Southwest Desert,ff0dc417-50cd-4a73-a542-3076ee73e61f,625,"Beaver, Iron and Millard counties—Boundary begins at the Utah-Nevada state line and US-6/50; east on US-6/50 to SR-257; south on SR-257 to SR-21; south on SR-21 to SR-130; south on SR-130 to I-15; south on I-15 to SR-56; west on SR-56 to the Lund highway; northwest on this highway to Lund and the Union Pacific railroad tracks; southwest along these tracks to the Utah-Nevada state line; north on this state line to US-6/50. Excludes all CWMUs. USGS 1:100,000 Maps: Beaver, Caliente, Cedar City, Delta, Garrison, Richfield, Tule Valley, Wah Wah Mountains North, Wah Wah Mountains South, Wilson Creek Range. Boundary questions? Call the Cedar City office, 435-865-6100. ",20,22049136050.9375,769131.638377576
47,Monroe,054a5262-bb8f-42a4-b2f8-8260c4fd2142,629,"Piute and Sevier counties—Boundary begins at US-89 and I-70 near Sevier; south on US-89 to SR-62; east and north on SR-62 to SR-24; north on SR-24 to I-70; south on I-70 to US-89 near Sevier. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. USGS 1:100,000 Maps: Beaver, Loa, Richfield, Salina. Boundary questions? Call the Cedar City office, 435-865-6100. ",23,2924050244.56641,254264.107687355
48,Mt Dutton,ae410610-dc8e-446b-a22b-f7a141f86085,630,"Garfield and Piute counties—Boundary begins at US-89 and SR-62; south on US-89 to SR-12; east on SR-12 to the Widtsoe-Antimony Road; north on this road to SR-22; north on SR-22 to SR-62; west on SR-62 to US-89. Excludes all CWMUs. USGS 1:100,000 Maps: Beaver, Escalante, Loa, Panguitch. Boundary questions? Call the Cedar City office, 435-865-6100. ",24,2750378126.48438,216681.844399342
49,Panguitch Lake,fb635cc6-ab1d-4282-ac95-98947fb0c9cc,634,"Garfield, Iron and Kane counties—Boundary begins at US-89 and SR-14; north on US-89 to SR-20; west on SR-20 to I-15; south on I-15 to SR-14; east on SR-14 to US-89. USGS 1:100,000 Maps: Beaver, Cedar City, Panguitch. Boundary questions? Call the Cedar City office, 435-865-6100. ",28,3662190615.85938,275913.121495247
50,Zion,85207dc7-db5d-4727-a7b3-84b03e79dfe4,635,"Iron, Kane and Washington counties—Boundary begins at the Utah-Arizona state line and I-15; north on I-15 to SR-14; east on SR-14 to US-89; south on US-89 to US-89A; south on US-89A to the Utah-Arizona state line; west on this state line to I-15. This hunt is comprised of all or largely private property. Excludes Zion National Park. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. Excludes all CWMUs. USGS 1:100,000 Maps: Cedar City, Kanab, Panguitch, Saint George. Boundary questions? Call the Cedar City office, 435-865-6100. ",29,7060906054.05078,412675.774977616
51,"Beaver, West",40e0e323-7249-4cb5-8b35-1e259cb6b9c5,672,"Beaver, Iron, and Millard Counties—Boundary begins at SR-130 and I-15; north on SR-130 to SR-21; north on SR-21 to SR-257; north on SR-257 to Black Rock Road; east on Black Rock Road to I-15; south on I-15 to SR-130. USGS 1:100,000 Maps: Beaver, Cedar City, Panguitch, Richfield. Boundary questions? Call Cedar City office, 435-865-6100. ",22A,4155417891.51172,345242.357507277
52,"Beaver, East",2969a6dd-3760-4b2e-9491-d613a7d64a58,685,"Beaver, Garfield, Iron, Millard, Piute and Sevier counties—Boundary begins at I-15 and I-70; east on I-70 to US-89; south on US-89 to SR-20; west on SR-20 to I-15; north on I-15 to I-70. Excludes all CWMUs. USGS 1:100,000 Maps: Beaver, Panguitch, Richfield. Boundary questions? Call Cedar City office, 435-865-6100. ",22B,3366846300.53516,270972.494133026
53,Kaiparowits,d1919a75-6e1a-4d64-94c4-ce139e62ea4a,97,"Garfield and Kane counties--Boundary begins at the Paria River and the Utah-Arizona state line; north along the Paria River to SR-12; east on SR-12 to the Burr Trail road at Boulder; southeast on this road to Lake Powell; southwest along the shore of Lake Powell to the Utah-Arizona state line; west along this state line to the Paria River. USGS 1:100,000 Maps: Escalante, Navajo Mountain, Smoky Mountain. Boundary questions? Call the Cedar City office, 435-865-6100",26,13391318657.9688,625278.092973371
54,"Wasatch Mtns, Avintaquin/Currant Creek",7aefe0b5-522f-4de6-a39d-89983071ea92,463,"Carbon, Duchesne, Utah and Wasatch counties—Boundary begins SR-87 and US-40 in Duchesne; north on SR-87 to SR-35; northwest on SR-35 to USFS Road 054 (Mill Hollow Road); southwest on this road to the USFS Road 083 (Lake Creek road); southeast on this road to USFS Road 82 (new Co-op Creek road); south on this road to US-40; east on US-40 to the Soldier Creek Dam road; south on this road to Soldier Creek Dam and the Strawberry River; east along this river to Beaver Creek; southwest along this creek to Big Beaver Spring and USFS Road 081 (Reservation Ridge road); southeast on this road to the Right Fork of White River road; southwest on this road to US-6; southeast on US-6 to US-191; north on US-191 to US-40; east on US-40 to SR-87 in Duchesne. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. USGS 1:100,000 Maps Duchesne, Nephi, Price.  Boundary questions? Call the Vernal office, 435-781-9453. ",17BC,5138364427.09766,395435.605129032
57,La Sal,3e8df2db-caa5-45fd-afcc-1b750996a12a,684,"Grand and San Juan counties—Boundary begins at I-70 and the Green River; south along the Green River to the Colorado River; north along this river to Kane Springs Creek; southeast along this creek to Hatch Wash; southeast along this wash to US-191; south on US-191 to Big Indian Road; east on this road to Lisbon Valley Road; east on this road to Island Mesa Road; east on this road to the Utah-Colorado state line; north on this state line to I-70; west on I-70 to the Green River. EXCLUDES ALL NATIONAL PARKS. EXCLUDES ALL CWMUs. USGS 1:100,000 Maps: La Sal, Moab, San Rafael Desert, Westwater. Boundary questions? Call the Price office, 435-613-3700. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",13,11312490340.082,819917.310589969
58,Chalk Creek,f7ecd5a5-de8c-426f-b2b7-c3060171a9a0,69,"Primarily private land—Summit and Duchesne counties—Boundary begins at I-84 and I-80 near Echo; northeast on I-80 to the Utah-Wyoming state line; southeast along this state line to SR-150; south on SR-150 to Pass Lake and the Weber River trail; west on this trail to Holiday Park and CR 2596 (Weber Canyon road); west on this road to SR-32; northwest on SR-32 to I-80 at Wanship; north on I-80 to I-84 near Echo. This hunt is comprised of all or largely private property. Hunters should acquire written permission from the landowner before applying for this hunt. USGS 1:100,000 Maps: Kings Peak, Ogden, Salt Lake City. Boundary questions? Call the Ogden office, (801) 476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",6,2803508224.72656,273704.472210272
59,Kamas,2774c7b5-6e4b-4444-a868-5cc193ded4ca,611,"Summit and Wasatch counties—Boundary begins at I-80 and SR-32 at Wanship; south on SR-32 to Oakley and the Weber Canyon road (CR-2596); east on this road to Holiday Park and the Weber River Trail; east on this trail to SR-150 near Pass Lake; south and west on SR-150 to North Fork Provo River; south along  this river to the Provo River; south along this river to SR-35; west on SR-35 to Francis and SR-32; west on SR-32 to US-40; north on US-40 to I-80; north on I-80 to SR-32 at Wanship. Excludes all CWMUs. USGS 1:100,000 Maps: Kings Peak, Salt Lake City. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",7,1545935458.54297,218410.148601946
